date,cdcweek,sitespecific,site,subsample,species,trapcount,ddm14,pt14,rha14,ttmax,ttmin,windspd
2021-05-31,23,Boissevain 4,Boissevain,FALSE,Cx. tarsalis,0,3.58,24.8,59,25.8,2,8.3
2021-06-01,23,Boissevain 4,Boissevain,FALSE,Cx. tarsalis,0,3.67,24.8,59,29.1,8.2,12.3
2021-06-07,24,Boissevain 4,Boissevain,FALSE,Cx. tarsalis,0,5.06,3,46,26.8,6.9,12.5
2021-06-08,24,Boissevain 4,Boissevain,FALSE,Cx. tarsalis,0,6.12,0.9,45,NA,NA,16.9
2021-06-14,25,Boissevain 4,Boissevain,FALSE,Cx. tarsalis,9,7.77,36.1,52,28.9,8.8,8.8
2021-06-15,25,Boissevain 4,Boissevain,FALSE,Cx. tarsalis,11,7.98,36.1,53,30.2,10.3,15.3
2021-06-21,26,Boissevain 4,Boissevain,FALSE,Cx. tarsalis,0,7.94,37.5,60,19.8,2.3,13.7
2021-06-22,26,Boissevain 4,Boissevain,FALSE,Cx. tarsalis,12,7.34,37,60,28.5,8.8,11.6
2021-06-28,27,Boissevain 4,Boissevain,FALSE,Cx. tarsalis,3,7.88,26.3,59,25.1,11.5,8.6
2021-07-05,28,Boissevain 4,Boissevain,FALSE,Cx. tarsalis,13,8.97,24.5,63,27.4,13,11.3
2021-07-06,28,Boissevain 4,Boissevain,FALSE,Cx. tarsalis,2,9.66,27,65,17.3,7.8,16
2021-07-12,29,Boissevain 4,Boissevain,TRUE,Cx. tarsalis,38,10.36,2.8,65,29,13.9,17.6
2021-07-13,29,Boissevain 4,Boissevain,FALSE,Cx. tarsalis,15,10.66,3.8,65,28.8,11.1,6.2
2021-07-19,30,Boissevain 4,Boissevain,FALSE,Cx. tarsalis,100,11.01,31.8,66,24.1,18.6,20
2021-07-20,30,Boissevain 4,Boissevain,FALSE,Cx. tarsalis,136,10.84,30,67,26.4,17.7,16.7
2021-07-26,31,Boissevain 4,Boissevain,FALSE,Cx. tarsalis,35,13.15,32.7,68,29.5,12.5,13.7
2021-07-27,31,Boissevain 4,Boissevain,FALSE,Cx. tarsalis,55,12.86,31.7,68,32,10.9,11.9
2021-08-04,32,Boissevain 4,Boissevain,FALSE,Cx. tarsalis,59,11.58,1.7,62,31.2,17.4,15.5
2021-08-09,33,Boissevain 4,Boissevain,FALSE,Cx. tarsalis,26,11.14,0,60,19.7,13.3,12
